Subject,Problem Set,Priority,Time Required to Finish
Math42,39,Low,17
Math42,47,Medium,47
Math42,65,Low,192
Math42,67,Low,176
Math42,46,Medium,51
Math42,41,High,40
Math42,95,Medium,420
Math42,41,High,50
Math42,63,Medium,145
Math42,91,Low,420
Math42,49,Medium,56
Math42,73,Medium,227
Math42,52,Medium,89
Math42,69,High,218
Math42,67,High,169
Math42,39,High,38
Math42,43,High,39
Math42,58,Low,130
Math42,67,High,166
Math42,77,High,292
Math42,69,High,194
Math42,28,Medium,8
Math42,50,Medium,80
Math42,60,Medium,136
Math42,37,High,25
Math42,33,Low,23
Math42,64,Low,133
Math42,44,Medium,56
Math42,39,Medium,39
Math42,37,Low,31
Math42,53,Medium,74
Math42,38,Medium,29
Math42,82,Low,316
Math42,30,Low,33
Math42,63,Low,156
Math42,67,Medium,183
Math42,59,Medium,124
Math42,61,High,150
Math42,37,Low,14
Math42,43,Low,74
Math42,71,Low,196
Math42,49,High,67
Math42,40,Low,47
Math42,60,Low,129
Math42,47,High,52
Math42,53,Low,86
Math42,58,Low,97
Math42,59,Low,131
Math42,43,High,40
Math42,29,High,21
Math42,52,High,76
Math42,67,Low,165
Math42,48,Medium,69
Math42,51,High,83
Math42,75,Low,246
Math42,40,Low,22
Math42,64,High,172
Math42,63,Medium,146
Math42,53,Low,91
Math42,43,Medium,51
Math42,68,Low,177
Math42,55,Low,69
Math42,53,High,93
Math42,43,Medium,68
Math42,23,Low,3
Math42,73,Low,250
Math42,34,High,37
Math42,63,High,129
Math42,42,High,59
Math42,35,High,35
Math42,61,High,138
Math42,59,Medium,125
Math42,43,Low,48
Math42,60,High,118
Math42,36,Low,14
Math42,67,Low,187
Math42,41,Low,39
Math42,20,Low,0
Math42,64,Low,137
Math42,61,Medium,120
Math42,55,Medium,116
Math42,37,High,16
Math42,7,High,5
Math42,76,High,250
Math42,31,Low,11
Math42,70,Low,206
Math42,32,High,44
Math42,40,Low,48
Math42,45,High,63
Math42,54,Medium,100
Math42,11,Low,0
Math42,53,Medium,82
Math42,44,Low,53
Math42,48,Medium,80
Math42,76,Medium,258
Math42,51,Medium,65
Math42,59,High,119
Math42,43,High,48
Math42,66,High,160
Math42,55,High,95
Math42,41,Low,38
Math42,62,Medium,132
Math42,45,Low,60
Math42,48,Low,57
Math42,38,High,33
Math42,71,Low,213
Math42,45,Low,47
Math42,63,Medium,149
Math42,51,Low,80
Math42,61,High,131
Math42,42,Low,41
Math42,84,Medium,354
Math42,56,High,120
Math42,37,Medium,19
Math42,74,Medium,245
Math42,72,Low,238
Math42,52,Medium,97
Math42,60,High,126
Math42,79,Medium,312
Math42,39,High,36
Math42,77,High,274
Math42,69,Low,194
Math42,29,Medium,5
Math42,61,Low,142
Math42,36,Low,17
Math42,41,Medium,28
Math42,34,High,38
Math42,54,High,101
Math42,51,High,80
Math42,79,Low,277
Math42,55,Medium,112
Math42,42,Low,36
Math42,59,Low,127
Math42,32,Medium,24
Math42,92,High,420
Math42,87,Low,399
Math42,56,Medium,97
Math42,49,Low,68
Math42,53,Low,79
Math42,51,Low,76
Math42,72,Low,233
Math42,38,High,35
Math42,64,High,191
Math42,50,High,67
Math42,81,Medium,301
Math42,29,High,22
Math42,62,Low,140
Math42,57,Medium,107
Math42,40,Medium,36
Math42,55,Medium,103
Math42,54,Low,97
Math42,72,Medium,229
Math42,50,High,63
Math42,31,High,16
Math42,48,High,67
Math42,66,Medium,180
Math42,40,High,49
Math42,49,Low,76
Math42,43,Low,47
Math42,32,Medium,27
Math42,17,High,0
Math42,30,Medium,1
Math42,34,Medium,12
Math42,49,Medium,76
Math42,44,Medium,63
Math42,47,Low,52
Math42,41,Medium,42
Math42,51,Medium,61
Math42,21,Low,6
Math42,59,Low,139
Math42,54,Low,91
Math42,45,Low,50
Math42,48,Medium,46
