Subject,Problem Set,Priority,Time Required to Finish
Math42,56,Low,96
Math42,59,Medium,107
Math42,38,High,20
Math42,82,Medium,286
Math42,45,High,43
Math42,67,Low,154
Math42,32,Low,28
Math42,27,Medium,0
Math42,61,High,134
Math42,46,High,44
Math42,78,High,255
Math42,63,High,112
Math42,83,High,285
Math42,34,Low,35
Math42,62,High,120
Math42,54,Low,80
Math42,75,Low,232
Math42,41,High,21
Math42,70,Medium,169
Math42,18,Low,17
Math42,63,Medium,128
Math42,49,High,63
Math42,54,Medium,106
Math42,58,High,96
Math42,40,High,33
Math42,42,Medium,58
Math42,44,High,21
Math42,75,Medium,233
Math42,46,Low,62
Math42,11,Medium,0
Math42,54,Low,103
Math42,29,Low,24
Math42,25,High,28
Math42,19,Medium,15
Math42,60,High,111
Math42,42,Low,35
Math42,53,High,89
Math42,38,High,24
Math42,45,Low,30
Math42,63,Low,126
Math42,38,Low,47
Math42,62,Medium,128
Math42,33,High,26
Math42,43,Medium,28
Math42,47,Low,58
Math42,60,High,113
Math42,29,Low,23
Math42,53,Medium,80
Math42,18,Low,0
Math42,27,Medium,0
Math42,53,High,77
Math42,58,Low,109
Math42,58,Medium,108
Math42,67,High,176
Math42,42,High,47
Math42,46,High,76
Math42,74,High,206
Math42,52,Low,93
Math42,82,High,283
Math42,29,Medium,4
Math42,65,Medium,120
Math42,88,Medium,360
Math42,36,Low,0
Math42,43,Medium,43
Math42,49,Low,69
Math42,46,Medium,54
Math42,42,Low,35
Math42,61,Low,116
Math42,58,Medium,97
Math42,43,Low,35
Math42,28,High,0
Math42,57,Medium,95
Math42,33,High,15
Math42,64,Medium,134
Math42,51,High,51
Math42,42,High,45
Math42,43,Low,47
Math42,59,Medium,111
Math42,71,Medium,187
Math42,87,High,333
Math42,50,Low,78
Math42,68,High,169
Math42,54,Medium,83
Math42,26,Low,19
Math42,44,High,42
Math42,49,Low,56
Math42,57,High,105
Math42,67,Medium,164
Math42,38,High,17
Math42,35,High,33
Math42,49,High,53
Math42,68,High,173
Math42,30,Medium,32
Math42,34,High,6
Math42,53,Medium,74
Math42,44,Medium,67
Math42,23,High,7
Math42,57,Low,92
Math42,52,Medium,47
Math42,27,High,15
Math42,57,High,92
Math42,49,Medium,68
Math42,61,High,138
Math42,25,Medium,4
Math42,61,Medium,113
Math42,51,Low,72
Math42,16,Medium,0
Math42,53,Medium,75
Math42,36,High,35
Math42,12,Medium,10
Math42,29,High,0
Math42,41,Low,19
Math42,58,Low,110
Math42,76,Medium,231
Math42,30,High,0
Math42,68,Low,163
Math42,37,Medium,31
Math42,85,Low,343
Math42,78,Medium,228
Math42,74,Low,211
Math42,47,Medium,62
Math42,32,Medium,26
Math42,69,Medium,185
Math42,64,Medium,139
Math42,83,High,283
Math42,79,Medium,260
Math42,46,Medium,43
Math42,32,High,16
Math42,54,Medium,67
Math42,64,Low,142
Math42,45,High,46
Math42,7,High,11
Math42,67,Medium,154
Math42,54,Low,83
Math42,21,High,0
Math42,62,Medium,115
Math42,59,High,100
Math42,65,Medium,135
Math42,9,Medium,18
Math42,41,Low,28
Math42,68,Medium,167
Math42,71,Low,192
Math42,71,High,198
Math42,65,High,132
Math42,75,High,229
Math42,58,Low,89
Math42,65,High,151
Math42,87,Low,340
Math42,66,High,139
Math42,34,Low,7
Math42,43,Medium,49
Math42,53,High,84
Math42,68,Medium,156
Math42,42,High,58
Math42,78,High,244
Math42,36,Medium,15
Math42,58,Medium,91
Math42,69,Medium,170
Math42,75,High,227
Math42,50,High,68
Math42,48,Medium,60
Math42,50,Low,50
Math42,77,Medium,229
Math42,69,Medium,171
Math42,41,Low,38
Math42,48,High,56
Math42,99,High,420
Math42,60,Medium,110
Math42,48,Medium,63
Math42,57,High,95
Math42,25,Medium,15
Math42,54,Medium,90
Math42,55,High,67
Math42,71,Low,182
Math42,61,Low,110
Math42,42,Low,49
Math42,39,High,27
Math42,29,Low,3
Math42,5,Low,8
Math42,46,High,52
Math42,60,Medium,123
Math42,73,Low,198
Math42,68,Low,150
Math42,45,High,55
Math42,65,Low,147
Math42,71,Medium,184
Math42,60,Medium,133
Math42,46,Medium,55
Math42,51,Medium,66
Math42,34,Low,36
Math42,65,High,143
Math42,64,High,133
Math42,31,High,22
Math42,44,Medium,37
Math42,42,Low,28
Math42,32,Low,0
Math42,75,High,216
Math42,63,Medium,139
Math42,34,Medium,12
Math42,35,Medium,33
Math42,44,High,48
Math42,73,Medium,209
Math42,65,Medium,143
Math42,30,Low,12
Math42,33,High,21
Math42,62,High,136
Math42,64,High,131
Math42,48,Medium,49
Math42,54,High,84
Math42,50,Medium,69
Math42,55,Low,114
Math42,46,High,64
Math42,65,Low,146
Math42,29,Low,28
Math42,47,Medium,54
Math42,26,Low,14
Math42,36,High,17
Math42,47,Low,52
Math42,66,Low,143
Math42,43,Low,36
Math42,51,High,65
Math42,54,Low,83
Math42,40,High,38
Math42,74,Medium,221
Math42,15,High,0
Math42,52,High,71
Math42,26,Medium,25
Math42,37,High,40
Math42,41,High,47
Math42,73,High,202
Math42,53,High,83
Math42,16,High,9
Math42,55,Medium,91
Math42,48,High,49
Math42,42,High,28
Math42,82,Medium,285
Math42,51,High,59
Math42,72,High,194
Math42,28,High,8
Math42,61,High,119
Math42,44,High,46
Math42,53,Medium,82
Math42,64,Medium,149
Math42,72,Medium,189
Math42,55,High,97
Math42,53,Medium,82
Math42,52,High,71
Math42,32,High,14
Math42,45,High,42
Math42,43,Low,40
Physics50,51,Medium,67
Physics50,59,Low,100
Physics50,38,High,38
Physics50,53,Low,68
Physics50,55,High,73
Physics50,63,High,138
Physics50,28,Low,10
Physics50,58,Low,83
Physics50,57,High,94
Physics50,61,Low,111
Physics50,35,Low,23
Physics50,61,High,122
Physics50,70,Low,170
Physics50,51,Medium,51
Physics50,69,Medium,159
Physics50,30,Low,40
Physics50,21,Low,0
Physics50,39,Low,43
Physics50,72,Medium,181
Physics50,64,High,131
Physics50,68,High,161
Physics50,40,Medium,31
Physics50,47,Low,53
Physics50,39,Low,25
Physics50,45,Medium,53
Physics50,30,High,16
Physics50,56,High,71
Physics50,38,High,27
Physics50,31,Low,12
Physics50,32,High,21
Physics50,48,Low,45
Physics50,33,High,12
Physics50,61,Low,104
Physics50,80,Medium,247
Physics50,63,Medium,133
Physics50,37,High,34
Physics50,51,Medium,55
Physics50,32,Medium,16
Physics50,61,High,115
Physics50,48,High,56
Physics50,19,Low,10
Physics50,72,Low,187
Physics50,60,Low,101
Physics50,54,Medium,82
Physics50,16,High,0
Physics50,50,Low,55
Physics50,71,Medium,180
Physics50,89,Low,323
Physics50,53,High,62
Physics50,22,Low,0
Physics50,21,Low,15
Physics50,62,Medium,111
Physics50,75,Low,211
Physics50,63,Low,111
Physics50,32,High,19
Physics50,40,Medium,17
Physics50,68,Low,139
Physics50,60,High,118
Physics50,79,Low,219
Physics50,40,Low,22
Physics50,44,High,33
Physics50,87,Low,314
Physics50,55,Medium,87
Physics50,29,High,3
Physics50,41,Medium,18
Physics50,55,High,73
Physics50,57,Medium,84
Physics50,58,Low,81
Physics50,61,High,115
Physics50,80,Medium,241
Physics50,38,Low,14
Physics50,57,Low,98
Physics50,50,Medium,63
Physics50,41,High,50
Physics50,63,Medium,114
Physics50,27,Medium,0
Physics50,9,Medium,9
Physics50,54,Low,84
Physics50,97,High,420
Physics50,42,Medium,32
Physics50,32,Medium,31
Physics50,35,High,28
Physics50,42,Medium,43
Physics50,84,Low,264
Physics50,47,Medium,49
Physics50,83,High,263
Physics50,78,High,205
Physics50,36,High,11
Physics50,40,High,31
Physics50,68,Medium,142
Physics50,61,Low,100
Physics50,49,Medium,59
Physics50,39,Medium,28
Physics50,75,Low,203
Physics50,57,Low,110
Physics50,12,Low,0
Physics50,52,Medium,61
Physics50,63,Medium,120
Physics50,39,Low,39
Physics50,50,Low,58
Physics50,85,Low,283
Physics50,25,Low,13
Physics50,57,Medium,69
Physics50,67,Low,139
Physics50,48,Medium,56
Physics50,73,Low,171
Physics50,32,High,18
Physics50,36,High,28
Physics50,59,High,70
Physics50,39,Medium,30
Physics50,62,Low,108
Physics50,73,High,169
Physics50,36,Low,28
Physics50,34,Low,28
Physics50,63,High,118
Physics50,39,High,38
Physics50,57,High,97
Physics50,41,High,24
Physics50,38,High,27
Physics50,37,Medium,24
Physics50,73,Medium,170
Physics50,45,Low,42
Physics50,47,High,34
Physics50,45,Low,30
Physics50,58,High,102
Physics50,67,Low,131
Physics50,67,High,142
Physics50,62,Low,97
Physics50,26,Low,16
Physics50,40,High,23
Physics50,59,Medium,97
Physics50,62,High,95
Physics50,34,Medium,15
Physics50,47,Low,46
Physics50,66,Low,118
Physics50,47,High,55
Physics50,57,Low,93
Physics50,81,Low,254
Physics50,58,Low,102
Physics50,40,Medium,31
Physics50,47,High,33
Physics50,53,High,60
Physics50,67,Medium,143
Physics50,58,High,102
Physics50,78,Low,229
Physics50,44,Low,55
